src,tgt
The desk is covered with dust.,그 책상에는 먼지가 많이 쌓여 있다.
Korea is now up and coming.,한국은 떠오르고 있다.
What languages do they speak in Korea?,한국에서는 무슨 언어로 말합니까?
Don't you feel any inconvenience living abroad?,외국에서 살면서 좀 불편한 건 없었어?
The pirates had no choice but to surrender.,해적들은 항복할 수 밖에 없었다.
"If you are going abroad, it's necessary to have a passport.",외국에 가려면 여권이 필요합니다.
The meeting came to an end at noon.,그 회의는 정오에 끝났다.
Our experiment has revealed that his report was inaccurate.,우리 실험은 그의 보고가 정확하하지 않았음을 밝혀내었다.
We must promote commerce with neighboring countries.,우리는 인접 국가들과의 교역을 촉진하여야 합니다.
Do you like singing?,노래하는 거 좋아해요?
Do you like singing?,노래하는 거 좋아해?
Don't you feel the house shaking?,집이 흔들리는거 같지 않아?
What a dishonest fellow!,이것 참 믿을수 없는 놈이네.
Can I help you?,제가 좀 도와 드릴까요?
Are there any discount tickets for me?,저에게 해당되는 할인 티켓은 없나요?
I'd like something to drink.,난 뭔가 마시고 싶다.
I'll fix a drink.,난 마실꺼리를 준비할께.
I have a favor to ask of you.,부탁이 하나 있습니다.
It is difficult to convey the meaning exactly.,의미를 정확하게 전달하는 것은 어렵다.
Look up the trains to London in the timetable.,런던행 열차를 시간표 확인하세요.
I'm looking for books on Roman history.,나는 로마의 역사에 관한 책을 찾고 있다.
I haven't seen Rick since he returned from New Zealand.,나는 릭을 그가 뉴질랜드로 돌아간 뒤에는 못 봤어.
The lion is the king of the jungle.,사자는 정글의 왕이다.
Have a nice day.,오늘을 즐겁게 보내셔요
How about some more roast beef?,소고기를 조금 더 굽는건 어때?
"If he had enough time, he might have done good work.",시간이 충분했더라면 그가 일을 잘 했을 텐데.
"If it were not for water, human life would be impossible.",물이 없었다면 인류의 생존은 가능하지 않았을 겁니다.
"If it were not for water, humans could not survive.","만약 물이 없었다면, 인간은 살아남지 못했다."
"If God did not exist, it would be necessary to invent him.","만약 신이 존재하지 않았다면, 만들어 낼 필요가 있겠지."
"If anything comes up that you don't understand, come to me.",뭐든 잘 이해안되는게 생기면 나한테 와.
Have you eaten dinner yet?,아직 저녁을 안 드셨나요?
Have you finished your homework?,숙제 다 끝냈니?
I don't have enough RAM.,충분한 RAM 메모리가 없어요.
I used to keep a diary in English when I was a student.,나는 학생일 때 영어로 일기를 쓰곤 했다.
I'm Tom Hunter.,저는 Tom Hunter입니다.
What I mean is this.,내가 말하고자 하는 바는 이거야.
Homesickness is a longing to go back to where you are from.,향수병은 당신이 있던 곳으로 돌아가고자하는 갈망입니다.
Betty killed her mother.,베티는 어머니를 살해했다.
Betty killed her.,베티는 그녀를 죽였다.
Call us toll-free at 1-800-446-2581.,수신자부담전화 1-800-446-2581을 이용해주세요.
I want a person who can speak French.,난 불어를 할 줄 아는 사람이 필요하다.
I ate a fresh lemon for the vitamin C.,나는 비타민C 섭취를 위해 신선한 레몬을 먹었다.
Such painters as Picasso are rare.,피카소 같은 화가는 드물다.
Hawaii is known as an earthly paradise.,하와이는 지상낙원이라 불린다.
Paris is the capital of France.,파리는 프랑스의 수도다.
"Show me your passport, please.",여권을 보여 주세요.
I love biking and hard rock concerts.,나는 자전거와 하드 락 콘서트를 좋아해.
He was still mumbling something about hospitals at the end of the party when he slipped on a piece of ice and broke his left leg.,파티 막바지에 그는 아직도 병원에 대해서 뭔가 중얼거리고 있었는데 얼음 조각에 미끄러 넘어져 왼쪽다리를 부러졌다.
How far is it from New York to London?,뉴욕에서부터 런던까지는 거리가 얼마나 됩니까?
Why are you so sure of his success?,왜 그의 성공을 그렇게 확신하고 있는 거지?
That sounds like a fairly good proposal.,그 제안은 매우 좋게 들린다.
Tom is an electrical engineer.,톰은 전기 기사다.
Tom sat two rows ahead of me.,탐은 나보다 2줄 앞에 앉았다.
Tom lives in the room above us.,톰은 우리 윗방에 살아.
Tom is not an idle boy any longer.,톰은 이제는 게으른 소년이 아니다.
Every country has its own history.,어떤 나라든 역사가 있다.
Where do you want to go?,어디에 가고 싶어해요?
Where do you want to go?,어디에 가고 싶으세요?
Where do you want to go?,너 어디 가고 싶니?
Please drive carefully.,조심해서 운전 하세요.
Please share my umbrella.,제 우산 같이 쓰세요.
Please don't mind me.,저한테 신경 쓰지마세요
Please don't mind me.,나한테 신경 쓰지마
Please don't mind me.,나한테 신경 쓰지마요.
I like nothing so much as to watch baseball games on television.,난 야구 시합을 티비로 보는 것이 제일 좋다.
I like nothing so much as to watch baseball games on television.,난 야구 시합을 티비로 보는 것보다 좋아하는 것이 없다.
Run as fast as you can.,"뛰어라, 네가 할 수 있는 만큼 빨리."
Can you help me a little?,조금 도와주실 수 있습니까?
Just look in the mirror.,거울 속을 들여다보아라.
The tickets are 20 yen each.,티켓은 각각 20엔 입니다.
Would you like me to call a taxi?,택시 한 대만 불러 주시겠습니까?
It's about time.,시간이 다 되었읍니다.
They have taken the form of sculptures.,그들은 조각 흉내를 내고 있다.
It's out of the question.,의심할 여시가 없읍니다
It is a moral question.,그것은 도덕적인 문제이다.
It is a very difficult job for us.,우리에게 몹시 힘든 일이에요.
That's my dictionary.,그건 내 사전이야.
I think it's the best way.,내 생각에는 이게 가장 좋은 방법 같아.
That's your funeral.,그건 네 책임이야.
Can I take your word for it?,내가 그것에 대한 너의 말을 믿어도 되겠니?
That's a delicate point.,그건 민감한 점이다.
Can the matter wait till tomorrow?,그 일은 내일까지 기다려도 돼?
Can the matter wait till tomorrow?,그 일은 내일 해도 돼?
The medicine tastes bitter.,그 약은 쓰다.
The medicine tastes bitter.,그 약은 써요.
What are the dimensions of the room?,방의 규격이 얼마입니까?
The shy boy was utterly embarrassed in her presence.,그 수줍은 소년은 그녀의 앞에서 완전히 쑥스러웠다.
The man is wanted for murder.,그 남자는 살인으로 수배중이다.
The teacher scolded his students severely.,선생님은 학생들을 심하게 꾸짖었다.
The ice is thick enough to walk on.,얼음이 걸어도 될만큼 두꺼워.
The small island came into sight.,이 작은 섬이 시야에 들어왔다.
The anthropologist says old customs still prevail in the province.,이 인류학자에 따르면 이 지역에서는 옛날 관습이 아직도 행해지고 있다.
You have only to read this article to see how serious the accident was.,이 기사를 읽는것만으로도 그 사고가 얼마나 심각했는지 알 수 있다.
That child's free time is circumscribed.,그 아이의 자유 시간이 제한된다.
He did nothing but cry.,그는 울기만 했다.
Hope of finding the child alive is fading rapidly.,아이를 살아 있는 상태로 찾을 희망이 빠르게 사라지고 있다.
Hope of finding the child alive is fading rapidly.,아이를 살아 있는 채로 찾을 희망이 빠르게 사라지고 있다.
Where is the bank?,그 은행은 어디에 있어요?
Where is the bank?,그 은행은 어디 있어?
The church is built in Gothic style.,이것은 고딕 양식의 교회이다.
The company suffered a loss of one billion yen last year.,그 회사가 작년에 십억엔의 손실을 보았다.
The film received favourable criticism.,이 영화는 좋은 비평을 받았다.
Don't tell me the end of the mystery.,그 미스터리(불가사의)의 끝을 나에게 알려주지 말아줘.
The door locks automatically.,문은 자동으로 닫힌다.
That coffee smells good.,그 커피는 냄새가 좋다.
There was some taste of lemon in the cake.,그 케이크는 레몬 맛이 조금 난다.
When is the next train to Sloane Square?,슬론 스퀘어로 가는 다음 기차가 언제 있습니까?
I'll call you back soon.,내가 금방 다시 전화해 줄게.
Susan is a good cook.,수잔의 음식 솜씨가 훌륭하다.
Susan was not playing the piano then.,수잔은 그 때 피아노를 치고 있지 않았다.
John is looking for a book on Japanese history.,존은 일본 역사에 관한 책을 찾고 있다.
John is my best friend.,존은 나의 가장 친한 친구야.
I talked myself hoarse.,난 말하다가 목이 쉬었다.
Jack collects stamps.,잭은 우표를 모은다.
I'll be right back.,빨리 갔다 올게.
Can I take a message?,메세지를 전해 드릴까요?
I am not quite sure if we can meet your requirements.,우리가 당신의 요구를 충족시켜 드릴 수 있을지 모르겠네요.
I am sorry to have kept you waiting so long.,당신을 너무 오래 기다리게 해서 죄송합니다.
Please excuse me for calling you so early in the morning.,너무 이른 아침에 전화를 해서 죄송합니다.
I can't afford to eat in such an expensive restaurant.,난 이렇게 비싼 식당에서 식사를 할 여유가 안되요.
This warm weather is abnormal for February.,2월에 이런 따뜻한 날씨는 비정상이야.
What time is the concert?,그 연주회는 몇 시에 시작하니?
Columbus discovered America.,콜럼버스가 아메리카 대륙을 발견했다.
Whose book is this?,이것은 누구의 책입니까?
Can I see this one?,이것 좀 보여주실래요?
Whose dictionary is this?,이건 누구 사전입니까?
Whose bicycle is this?,이 자전거는 누구 것이지?
Whose car is this?,이 자동차는 누구 것이지?
Whose umbrella is this?,이 우산은 누구 것이지?
This is my dictionary.,이것은 내 사전이다.
This is a nice camera.,이것은 좋은 카메라 이에요.
What in the world is this?,이게 대체 뭐야?
What in the world is this?,이게 대체 뭐예요?
This medicine will give you some relief.,이 약이 좀 편하게 해줄거에요.
Read this book.,이 책 읽어.
Read this book.,이 책을 읽으세요.
Does this book belong to you?,이 책은 당신 소속인가?
This room is just about big enough.,이 방은 적당히 크다.
This edition is limited to seven thousand copies.,이 에디션은 7000 카피 한정판이다.
This transparent liquid contains a kind of poison.,이 투명한 액체는 독 성분을 포함하고 있다.
This transparent liquid contains poison.,이 투명한 액체는 독을 포함하고 있다.
Nothing seems to grow in this soil.,이 흙에서는 아무것도 자라지 않는 것으로 보인다.
How nice this cup is!,"이 컵, 너무 좋네!"
This news is important to us.,이 뉴스는 우리에게 중요하다.
"Every time I read this novel, I find it very interesting.","나는 이 소설을 읽을 때마다, 매번 이 소설에 흥미를 느낀다."
I want to have this letter registered.,이 편지를 등기로 보내고 싶어요.
This dictionary is expensive.,이 사전은 비싸다.
Will this dictionary do?,이 사전이면 될까요?
This clock is accurate.,이 시계는 정확하다.
"This building looks large from the front, but not from the side.",그 건물은 앞에서 보면 커 보이지만 옆에서 보면 그렇지 않다.
This machine was out of order for a while.,이 기계가 잠시 고장났었다.
This house is not for sale.,이 집은 팔려고 내놓은 집 아니에요.
This English book is too difficult for me to read.,이 영어 책은 내가 읽기엔 너무 어렵다.
I sincerely regret having caused you such an inconvenience.,폐를 끼쳐서 진심으로 후회합니다.
This heater burns gas.,이 히터는 가스를 사용한다.
These scissors don't cut well.,이 가위 잘 안들어요.
These scissors don't cut well.,이 가 위 잘 안들어.
What hours is the shopping center open?,그 쇼핑센터는 몇 시에 열어?
You can see this easily if you put a straw into a glass of water.,빨대를 물이 담긴 잔에 넣으면 눈으로 쉽게 확인 할 수 있다.
The weather is changeable here.,여긴 날씨가 변덕스러워.
Can you really not swim?,정말 수영할 줄 몰라?
Look at the picture on the wall.,벽에 걸려있는 그림을 좀 봐.
The population of Canada is about 26 million.,캐나다의 인구는 약 2600만명이다.
Do you have any bags to check?,부치실 짐이 있으세요?
Boil some water.,물 좀 끓여.
"I don't have much money, but I can get along somehow.","나는 돈이 별로 없지만, 그럭저럭 지낼 수 있다"
The Olympic Games are held every four years.,올림픽은 4 년마다 열린다.
I have a lot of discharge.,나는 물이 많아요.
Maybe you'll succeed.,너는 아마 성공할 것이다.
I feel guilty.,자기가 잘못했다고 생각한다.
"If it is worth doing at all, it is worth doing well.","할 가치가 있는 일이면, 제대로 하십시오."
Come to my house whenever you like.,언제든지 우리 집에 와.
Strawberries are in season now.,요즘 딸기가 제철입니다.
Those are my CDs.,이 씨디들은 내 꺼야.
How many letters are there in the alphabet?,알파벳은 몇 개의 글자로 되어 있습니까?
I do not have much time.,시간이 단지 조금밖에 없어요.
"Being too nervous to reply, he stared at the floor.","대답하기에 너무 긴장되어서, 그는 바닥을 응시했다."
That tragedy was etched in my mind.,그 비극은 내 마음속 깊이 아로새겨 졌다.
That man borrows money from many lenders.,그 남자는 많은 대출업자에게서 돈을 빌리는 사람이다.
That child is full of mischief.,그 아이는 장난이 심하다.
You need good equipment to climb that mountain.,저 산에 오르려면 좋은 장비가 있어야 돼.
Do you speak Japanese?,일본말 할 줄 아십니까?
"You have seen Tokyo Tower, haven't you?",너 도쿄 타워 본적 없지?
Do you know them?,당신은 그분들을 아십니까?
Do you believe in any religion?,종교를 가지고 계십니까?
Have you heard of a bird called the Arctic Tern?,극제비갈매기라는 새를 들어 본 적 있습니까?
I'm all for your suggestion.,난 너의 제안에 전적으로 동의한다.
I bought a pen for your birthday present.,네 생일 선물로 펜 하나를 샀어.
What's your blood group?,네 혈액형은 뭐야?
I can't keep pace with your plan.,나는 너의 계획에 맞춰줄 수 없어.
I should have told you everything earlier.,너한테 모든 걸 좀 더 빨리 얘기했어야 했는데.
I am looking forward to meeting you when you come.,당신이 오면 만나기를 고대하고 있습니다.
Will you show me what you bought yesterday?,네가 어제 산 것을 내게 보여줄 수 있어?
We're almost there.,거의 다 왔어요
Please call me at my hotel later.,나중에 호텔로 연락 바랍니다.
He is the dumbest kid in the class.,그는 학급에서 가장 둔한 아이이다.
I'll kill him.,나는 그를 죽일 것이다.
What is the difference between A and B?,A와 B의 차이가 뭐예요?
There is no bus service after nine-thirty.,9시 반 이후엔 버스가 다니지 않아요.
I'd like to reserve a table for two.,두 명 자리를 예약하고 싶어요.
Choose either one or the other.,둘 중 하나를 선택하세요.
"Two, four, six, etc. are even numbers.","2, 4 그리고 6은 짝수이다."
He missed the train by a minute.,그는 1분 차이로 기차를 놓쳤다.
War broke out in 1941.,1941년에 전쟁이 일어났다.
"One, three, and five are odd numbers.","1, 3 그리고 5는 홀수이다."
Do you want a cup of coffee?,커피 한 잔?
I can't live without you.,너 없인 못 살아.
Business is at last beginning to pick up.,경기가 드디어 좋아지기 시작한다.
Art breaks the monotony of our life.,예술은 우리를 단조로운 일상에서 벗어나게 해준다.
Let's meet in front of the theater.,극장 앞에서 만납시다.
"If you get shot, you'll die.",총알 맞으면 죽는다.
Let me congratulate you on your marriage.,너희들의 결혼을 축하해요.
Blood ran from his wound.,그의 상처에서 피가 흘러 나왔다.
Blood will tell.,피가 말해 줄 것이다.
There was lavender as far as the eye could see.,시야가 미치는 범위에는 라벤더가 피어 있었다.
There is no time like the present.,지금처럼 좋은 때는 없다.
Who is your favorite singer?,좋아하는 가수가 누구야?
Who is your favorite singer?,좋아하는 가수는 누구예요?
Now I am too old to walk.,이제 나는 너무 늙어서 걸을 수 없다.
Now I am too old to walk.,이제 나는 너무 늙어서 걷기 어렵다.
Now I am too old to walk.,이제 나는 걷기 어려울 정도로 너무 늙었다.
You will yet regret it.,그것을 너는 후회할 것이다.
I take back what I said.,아까 한 말 취소야.
Please come here between two and three this afternoon.,오늘 오후 두시에서 세시 사이에 여기로 와 주세요.
"Hello, I am Nancy.","안녕하세요, 저는 낸시예요."
There is no school today.,오늘은 학교에 가지 않는 날이다.
It is not so hot today as yesterday.,오늘은 어제만큼 덥지않다.
Looks like another nice day.,또 다른 좋은 날 같다.
It makes no difference whether you go today or tomorrow.,네가 오늘 가나 내일 가나 마찬가지야.
I ate too much food yesterday.,어제는 너무 많이 먹었어.
How often did you go swimming last summer?,작년 여름에 몇 번이나 수영을 하러 갔었습니까?
"Last night, I indulged in reading the book he lent me.",어젯밤에 난 그가 빌려준 책에 빠져들었다.
"Having been convicted of murder, he was sentenced to life imprisonment.",그는 살인죄로 종신형을 선고 받았다.
Children are not allowed in.,아이들은 들어올 수 없습니다.
"The expenditure totaled 200,000 yen.","지출총액은 200,000엔 이었다."
It requires more courage to suffer than to die.,죽는 일보다 고통 받는 일이 더 많은 용기를 필요로 한다.
There are many words with meanings I don't know.,내가 모르는 의미를 가진 단어가 많이 있습니다.
Wait here until I come back.,제가 올 때까지 기다려 주세요.
I heard the news that our team had won.,나는 우리팀이 우승했다는 소식을 들었다.
None of us are against his idea.,우리 중 아무도 그 사람의 의견에 반대하지 않는다.
There is a library in our city.,우리 마을에 도서관이 하나 있다.
We graduate from high school at eighteen.,우리는 18살에 고등학교를 졸업합니다.
We graduate from high school at eighteen.,우리는 18살에 고등학교를 졸업해.
We followed the deer's tracks.,우리는 그 사슴의 발자국을 따라갔다.
We ought to leave now.,우리는 지금 떠나야 한다.
We're in the same boat.,우리는 같은 배를 탔다.
We saw the waiter coming through the door.,우리는 직원이 문으로 들어오는 걸 봤다.
We'll leave the house tomorrow morning.,우리는 내일 아침에 집을 떠날 것이다.
"If you need me, I'll be somewhere around.","당신이 날 필요하면, 난 어딘가에있을거야."
My ideas are different from yours.,제 생각은 당신과 다릅니다.
My ideas are different from yours.,내 생각은 너와 달라.
I like autumn most.,가을을 제일 좋아해요.
I like autumn most.,가을이 제일 좋아.
My goal in life is to be a novelist.,제꿈은 작가가 되는 것입니다.
My birthday is on March 22.,내 생일은 3월 22일이다.
My father is to visit Korea next week.,나의 아버지는 다음 주에 한국으로 가기로 되어 있다.
There are many books in my room.,내 방에는 책이 정말 많아.
"I preferred wearing my Hawaiian T-shirt and green shorts to be cool and different, but I quickly got used to the white shirt and black slacks.","나는 남과 다르게 멋있게 보이고 싶어서 하와이안 티셔츠와 녹색 반바지 입는 걸 좋아했지만, 빠르게 흰색 셔츠와 검정 바지에 익숙해졌다."
I met an old friend by chance.,우연히 옛날 친구를 만났어.
I saw the train come into the station.,나는 역으로 들어오는 기차를 봤다.
I was born in 1960.,나는 1960년에 태어났다.
"I was born on October 10, 1972.",나는 1972년 10월 10일에 태어났다.
I was born in 1979.,나는 1979년에 태어났다.
I like that about you.,너의 그런 점이 맘에 들어.
I can not answer your question.,나는 당신의 질문에 답할 수 없어요.
I can not answer your question.,나는 네 질문에 답할 수 없어.
I am interested in American literature.,나는 미국문학에 관심이 있다.
I visited many parts of England.,영국 여러 곳을 다녀왔다.
I'm busy all the time.,저는 항상 바빠요.
I watched TV after I washed the dishes.,설거지 끝내고 티비 봤어.
I went skating on the lake.,나는 호수에 스케이트를 타러 갔다.
I have arranged for Bill to meet Ann tomorrow.,난 내일 빌이 앤을 만나도록 했다.
I don't have to go to the doctor any more. I'm feeling much better.,많이 좋아져서 나는 더이상 병원에 갈 필요가 없다.
I decided not to go to Europe.,난 유럽에 가지 않기로 했다.
I remember seeing you before.,전에 만났던 것 기억해요.
I don't understand English.,나는 영어를 못합니다.
I live in Yokohama.,나는 요코하마에 살고 있다.
I postponed doing my housework for a few hours.,나는 몇 시간 동안 집안 일을 미뤘다.
I dislike cold weather.,나는 추운 날씨를 싫어한다.
I was feverish with embarrassment.,난 정말 부끄러웠다.
I call architecture frozen music.,나는 건축을 얼어있는 음악이라고 부른다.
I go to the park.,난 공원에 가요.
I want to live a happy life.,나는 행복한 삶을 살고 싶어요.
I got up early yesterday.,어제는 일찍 일어났어요.
I like summer best of the four seasons.,나는 사계절 중에 여름을 제일 좋아해.
I like to ride a horse now and then.,나는 가끔 한번씩 말 타는 걸 좋아합니다.
I can only speak for myself.,난 나를위해서만 말을할수있어.
I prefer spring to autumn.,나는 가을보다 봄이 좋아.
I prefer spring to autumn.,가을보다 봄이 좋아요.
I bought a new sewing machine.,새로운 재봉틀을 샀다.
I can't afford a new car.,나는 새 차를 살 여유가 없다.
I do not believe in the existence of God.,나는 신의 존재를 믿지 않는다.
I want to study math.,나는 수학을 전공하고 싶다.
I have been ill in bed since last Friday.,난 지난 금요일부터 아파서 누워있어.
I'm a careful man.,난 조심성이 있는 사람이다.
I want to become a teacher of Japanese.,저는 일본어 선생님이 되고 싶어요.
I don't have contact recently from him.,저는 최근에 그분한테서 연락이 업서요.
"I went over his report, but couldn't find any mistakes.",그의 보고서를 검토했지만 실수를 찾을 수 없었다.
I attended his funeral.,나는 장례식에 참석했다.
I have never heard her say 'No'.,나는 그녀가 안됀다고 말하는 걸 들어 본적이 없다.
I wrote a long letter to her.,나는 그녀에게 긴 편지를 썼다.
I helped her with her work.,나는 그녀의 일을 도왔다.
I'm leaving for Chicago next week.,나는 다음주에 시카고로 갈거야.
I want to study history.,나는 사학을 전공하고 싶다.
I intend to decline his offer to help me.,날 도와주겠다는 그의 제안은 거절할 생각이다.
Don't pry into my private life.,내 사생활 좀 그만 캐물어.
Don't pry into my private life.,내 사생활은 묻지 말아줘.
Don't pry into my private life.,내 사생활 캐묻지 마.
We need to review the case.,우리는 그 사건을 검토할 필요가 있다.
We should hold some of food in reserve.,음식을 좀 남겨 놓아야 해요.
He who carries nothing loses nothing.,갖고 다니지 않으면 잃을 것도 없다.
"It is acceptable to mention your job and interests and to ask the other person about his, but be careful not to let the conversation become too personal.","네 직업이나 취미를 알려주고 다른 사람의 직업과 취미를 물어봐도 되지만, 대화가 지나치게 사적으로 흐르지 않도록 조심해."
It's not fair to attribute your failure to your parents.,당신의 실패를 당신의 부모님 탓으로 돌리는것은 옳지 않습니다
In reality black is not a color; it is the absence of color.,사실 검정은 색깔이 아니야; 색이 없는 거지.
The company president was indicted for paying kickbacks.,그 회사 회장은 리베이트를 지불한 혐의로 기소되었다.
All's well that ends well.,결과가 좋으면 모든 것이 좋다.
